City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3347019,Mossamedes,AO,-15.1961,12.1522,64.72,73,21,7.34
477940,Ust-Tsilma,RU,65.441,52.1498,51.94,39,7,6.6
4844309,Torrington,US,41.8007,-73.1212,54.21,71,1,1.01
1282256,Hithadhoo,MV,-0.6,73.0833,83.82,73,92,8.52
1490256,Talnakh,RU,69.4865,88.3972,59.09,79,93,11.23
2122090,Pevek,RU,69.7008,170.3133,32.14,92,96,11.63
2163355,Hobart,AU,-42.8794,147.3294,52.9,94,90,3.0
1489398,Topchikha,RU,52.8192,83.1185,72.18,54,86,8.61
544119,Kosino,RU,58.4127,51.2782,57.72,68,30,10.33
3517970,Pochutla,MX,15.7432,-96.4661,74.82,92,100,5.14
866062,Iskateley,RU,67.6803,53.1512,49.17,47,4,14.43
3385658,Uruçuí,BR,-7.2294,-44.5561,73.24,51,10,2.35
964420,Port Elizabeth,ZA,-33.918,25.5701,56.79,79,0,6.87
6149996,Smithers,CA,54.7804,-127.1743,57.83,60,28,5.12
1735106,George Town,MY,5.4112,100.3354,89.89,73,20,1.99
1252783,Yārāda,IN,17.65,83.2667,88.12,58,90,11.5
3465487,Coromandel,BR,-18.4733,-47.2003,55.26,45,0,4.72
3579925,St. George's,GD,12.0564,-61.7485,80.28,89,75,13.8
2013918,Ust-Maya,RU,60.4167,134.5333,72.63,29,89,4.85
4513583,Hamilton,US,39.1834,-84.5333,61.88,73,40,0.0
2018069,Peleduy,RU,59.6289,112.7406,73.22,35,78,5.1
2127202,Anadyr,RU,64.75,177.4833,48.0,66,45,11.01
3401548,Crateús,BR,-5.1783,-40.6775,72.1,66,11,2.84
1066310,Betioky,MG,-23.7167,44.3833,58.78,78,0,6.15
2012530,Zhigansk,RU,66.7697,123.3711,71.64,36,14,6.22
3443061,Chui,UY,-33.6971,-53.4616,51.21,78,100,10.87
4004293,Ixtapa,MX,20.7,-105.2,84.22,84,74,2.73
6067747,Matagami,CA,49.7502,-77.6328,42.24,60,59,5.82
946257,Ulundi,ZA,-28.3352,31.4162,58.21,40,92,5.03
3617763,Managua,NI,12.1328,-86.2504,78.51,82,100,2.33
3893726,Constitución,CL,-35.3333,-72.4167,53.31,85,2,4.03
2094342,Kavieng,PG,-2.5744,150.7967,84.38,66,100,5.3
4499379,Wilmington,US,34.2257,-77.9447,69.87,87,1,0.0
5713587,Bend,US,44.0582,-121.3153,64.67,35,1,1.99
631707,Vihti,FI,60.417,24.3197,55.33,93,62,5.3
913323,Kaoma,ZM,-14.7833,24.8,46.49,57,6,6.08
1106677,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,83,16.53
5866063,Kenai,US,60.5544,-151.2583,51.53,76,1,5.75
5379439,Ontario,US,34.0633,-117.6509,76.37,54,75,3.0
4032243,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75
2961459,Skibbereen,IE,51.55,-9.2667,49.8,80,72,8.08
2162662,Inverell,AU,-29.7833,151.1167,58.1,53,2,7.0
5044290,Saint Anthony,US,45.0205,-93.218,75.24,52,1,3.0
2036338,Kaitong,CN,44.8135,123.15,74.44,32,0,15.97
217834,Bukama,CD,-9.2,25.85,57.92,51,37,2.48
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,41.65,65,88,14.0
3374210,São Filipe,CV,14.8961,-24.4956,72.27,85,32,2.28
4033557,Tautira,PF,-17.7333,-149.15,78.82,84,100,18.03
3401188,Curuçá,BR,-0.7289,-47.8481,72.68,96,10,3.87
3173615,Melfi,IT,40.9965,15.6514,64.22,59,3,4.18
2138555,Poum,NC,-20.2333,164.0167,74.5,81,74,4.99
5245387,Beloit,US,42.5084,-89.0318,62.91,52,1,4.61
1863997,Fukuechō,JP,32.6881,128.8419,71.96,94,75,4.61
3430863,Mar del Plata,AR,-38.0023,-57.5575,41.7,63,40,4.0
2033866,Xifeng,CN,42.7372,124.7222,62.38,97,100,12.21
3454061,Peruíbe,BR,-24.32,-46.9983,61.99,92,98,3.6
5972762,Hay River,CA,60.8156,-115.7999,42.12,98,100,16.42
3374333,Praia,CV,14.9215,-23.5087,70.75,84,24,10.63
556268,Ostrovnoy,RU,68.0531,39.5131,47.41,61,16,9.13
5742974,North Bend,US,43.4065,-124.2243,57.69,85,1,14.97
1528796,At-Bashi,KG,41.1702,75.8106,55.58,55,100,0.43
2641434,Northam,GB,51.0333,-4.2167,55.78,90,98,7.61
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,65.12,92,75,12.66
3404558,Cabedelo,BR,-6.9811,-34.8339,74.07,89,15,10.27
4726521,San Patricio,US,28.017,-97.5169,80.96,77,0,5.66
136702,Dehlorān,IR,32.6941,47.2679,96.3,10,0,1.14
1701054,Marawi,PH,7.9986,124.2928,79.32,76,44,1.59
3163962,Volterra,IT,43.4003,10.86,60.55,86,100,2.21
2294915,Takoradze,GH,4.8845,-1.7554,77.07,86,91,8.7
2071860,Esperance,AU,-33.8667,121.9,58.42,52,85,6.24
88533,Awjilah,LY,29.1081,21.2869,75.67,33,0,7.11
1529660,Aksu,CN,41.1231,80.2644,78.03,18,42,7.54
1510131,Beya,RU,53.0533,90.9139,71.78,56,6,3.53
3466704,Castro,BR,-24.7911,-50.0119,50.81,91,88,7.78
1804586,Laiyang,CN,36.9758,120.7136,69.42,85,100,6.06
2263905,Ribeira Brava,PT,32.65,-17.0667,67.44,81,19,8.75
2021188,Kurumkan,RU,54.3,110.3,59.43,61,60,6.04
1852357,Shimoda,JP,34.6667,138.95,75.11,67,36,14.25
1895695,Kushima,JP,31.4583,131.2333,73.72,88,100,5.1
